no,date,distance,duration,pace
1,2017-01-07,5.28,24,4.33
2,2017-01-10,5.46,24,4.24
3,2017-01-13,5.62,24,4.16
4,2017-01-16,5.66,24,4.14
5,2017-01-19,5.52,24,4.21
6,2017-01-22,9.63,46,4.47
7,2017-01-25,10.0,47,4.42
8,2017-01-28,10.6,49,4.37
9,2017-02-02,8.04,38,4.44
10,2017-02-05,7.64,35,4.35
11,2017-02-11,9.86,46,4.4
12,2017-02-14,10.1,47,4.39
13,2017-02-19,5.8,26,4.29
14,2017-02-24,9.76,46,4.43
15,2017-02-28,9.7,47,4.51
16,2017-03-03,9.53,46,4.5
17,2017-03-06,9.84,45,4.34
18,2017-04-02,5.33,27,5.04
19,2017-04-17,8.04,41,5.06
20,2017-04-23,5.34,25,4.41
21,2017-04-27,7.53,36,4.47
22,2017-04-30,7.62,36,4.43
23,2017-05-02,7.32,36,4.55
24,2017-05-05,7.61,37,4.52
25,2017-05-09,7.41,36,4.51
26,2017-05-11,5.53,30,5.25
27,2017-05-16,6.33,31,4.54
28,2017-05-18,8.1,39,4.49
29,2017-05-23,6.82,33,4.5
30,2017-05-25,7.72,37,4.48
31,2017-05-30,6.83,34,4.59
32,2017-09-22,5.65,31,5.29
33,2017-09-24,5.59,29,5.11
34,2017-09-26,6.04,32,5.18
35,2017-09-28,6.29,33,5.15
36,2017-09-30,6.48,33,5.06
37,2017-10-02,6.78,34,5.01
38,2017-10-04,7.38,36,4.53
39,2017-10-06,6.54,31,4.44
40,2017-10-08,7.84,39,4.58
41,2017-10-10,7.3,35,4.48
42,2017-10-12,7.46,38,5.06
43,2017-10-17,7.21,36,4.6
44,2017-10-19,6.98,35,5.01
45,2017-10-21,7.62,36,4.43
46,2017-10-24,7.52,37,4.55
47,2017-10-26,7.42,36,4.51
48,2017-10-31,7.16,35,4.53
49,2017-11-02,7.52,35,4.39
50,2017-11-09,7.05,35,4.58
51,2017-11-14,7.39,38,5.09
52,2017-11-17,8.04,40,4.59
53,2017-11-20,8.13,43,5.17
54,2017-11-21,8.55,42,4.55
55,2017-11-23,8.6,42,4.53
56,2017-11-24,8.16,42,5.09
57,2017-11-27,8.57,42,4.54
58,2017-11-28,8.17,40,4.54
59,2017-11-30,10.64,56,5.16
60,2017-12-01,9.04,43,4.45
61,2017-12-04,8.27,42,5.05
62,2017-12-05,8.83,44,4.59
63,2017-12-07,8.68,44,5.04
64,2017-12-08,8.36,43,5.09
65,2017-12-11,8.49,44,5.11
66,2017-12-12,8.51,42,4.56
67,2017-12-14,11.05,55,4.59
68,2017-12-18,8.04,40,4.59
69,2017-12-19,8.21,41,4.6
70,2017-12-21,8.15,40,4.54
71,2017-12-22,8.23,40,4.52
72,2017-12-24,8.23,39,4.44
73,2018-02-09,6.25,31,4.58
74,2018-02-16,6.57,33,5.01
75,2018-02-20,6.86,34,4.57
76,2018-02-23,6.67,33,4.57
77,2018-03-09,6.67,33,4.57
78,2018-03-13,7.82,39,4.59
79,2018-03-16,8.04,41,5.06
80,2018-03-19,7.73,39,5.03
81,2018-03-22,8.88,44,4.57
82,2018-03-26,8.67,43,4.58
83,2018-04-16,7.63,38,4.59
84,2018-05-09,8.32,40,4.48
85,2018-07-18,8.11,41,5.03
86,2018-07-21,8.13,40,4.55
87,2018-07-24,8.23,41,4.59
88,2018-07-26,8.58,42,4.54
89,2018-07-30,8.62,40,4.38
90,2018-08-01,8.14,38,4.4
91,2018-08-19,10.56,52,4.55
92,2018-08-24,15.38,78,5.04
93,2018-08-27,15.47,78,5.03
94,2018-10-05,6.32,36,5.42
95,2018-10-09,7.53,42,5.35
96,2018-10-12,8.84,45,5.05
97,2018-10-16,8.62,46,5.2
98,2018-10-19,8.84,45,5.05
99,2018-10-23,8.76,44,5.01
100,2018-10-26,8.31,42,5.03
101,2018-10-30,8.88,43,4.51
102,2018-11-01,8.54,40,4.41
103,2018-11-06,9.2,45,4.53
104,2018-11-13,9.81,46,4.41
105,2018-11-20,9.72,46,4.44
106,2018-12-01,12.2,61,5.0
107,2019-05-06,6.34,32,5.03
108,2019-05-13,8.1,40,4.56
109,2019-05-16,7.52,38,5.03
110,2019-05-19,8.19,41,5.0
111,2019-05-22,8.04,41,5.06
112,2019-05-30,8.1,42,5.11
113,2019-06-05,8.1,42,5.11
114,2019-07-06,9.66,52,5.23
115,2019-07-07,10.41,55,5.17
116,2019-07-28,10.52,54,5.08
117,2019-08-25,10.53,57,5.25
118,2019-11-03,6.82,37,5.26
119,2019-11-06,8.06,43,5.2
120,2019-11-13,7.93,41,5.1
121,2020-02-08,7.53,41,5.27
122,2020-02-09,7.41,40,5.24
123,2020-03-07,7.38,40,5.25
124,2020-03-13,6.5,36,5.32
125,2020-03-21,8.56,42,4.54
